Limit_Bal,Gender,Education,Marriage,Age,Default_Payment,Avg_Repayment_Status,Max_Repayment_Status,Delayed_Months_Count,Med_Bill_Amount,Total_Bill_Amount,Med_Payment_Amount,Total_Payment_Amount,Payment_Ratio,Credit_Utilization_Ratio
20000,2,2,1,24,1,-0.3333333333333333,2,2,344.5,7704,0.0,689,0.08942245295262817,0.38518074096295185
120000,2,2,2,26,1,0.5,2,2,2971.5,17077,1000.0,5000,0.29277432954678534,0.142307147440438
90000,2,2,2,34,0,0.0,0,0,14639.5,101653,1250.0,11018,0.10838727448009916,1.1294652281641315
50000,2,2,1,37,0,0.0,0,0,38268.5,231334,1150.0,8388,0.03625910476149307,4.626587468250635
50000,1,2,1,57,0,-0.3333333333333333,0,0,19138.5,109339,5500.0,59049,0.5400493872324859,2.1867362652746944
50000,1,1,2,37,0,0.0,0,0,38546.5,238114,1000.0,7772,0.03263969090565483,4.762184756304874
500000,1,1,2,29,0,0.0,0,0,459475.5,2724595,29119.5,180759,0.0663434138492459,5.449179101641796
100000,2,2,2,23,0,-0.5,0,0,473.5,13486,591.0,4791,0.3552309631496997,0.13485865141348585
140000,2,3,1,28,0,0.3333333333333333,2,1,11950.5,65212,1000.0,6761,0.10367564749359791,0.465796672880908
20000,1,3,2,35,0,-1.6666666666666667,-1,0,0.0,26919,0.0,14129,0.524851411589896,1.3458827058647067
200000,2,3,2,34,0,0.16666666666666666,2,1,4633.0,34467,183.0,6472,0.18776836486016016,0.17233413832930836
260000,2,1,2,51,0,-0.5,2,1,12964.5,88369,9274.5,66308,0.75034513975331,0.3398794620020692
630000,2,2,2,41,0,-0.8333333333333334,0,0,6500.0,41007,4685.0,23370,0.5698888021849395,0.06509037287242402
70000,1,2,2,30,1,1.1666666666666667,2,4,65751.5,338685,2250.0,10700,0.031592684669575946,4.838288024456793
250000,1,1,2,29,0,0.0,0,0,61628.5,373591,3000.0,18000,0.048180903231332575,1.4943580225679098
50000,2,3,3,23,0,0.5,2,2,29352.0,196416,1150.0,6200,0.03156549585830147,3.9282414351712966
20000,1,1,2,24,1,1.3333333333333333,2,4,17957.5,106161,750.0,6350,0.059814246152107155,5.3077846107694615
320000,1,1,1,49,0,-0.5,0,0,195131.0,966014,35000.0,361897,0.37462875835261356,3.0187843162990116
360000,2,1,1,49,0,-1.5,1,1,0.0,0,0.0,0,0.0,0.0
180000,2,1,2,29,0,-1.5,1,1,0.0,0,0.0,0,0.0,0.0
130000,2,3,2,39,0,-0.16666666666666666,0,0,22552.5,123883,1768.5,42231,0.34089147912563367,0.9529388235475111
120000,2,2,1,39,1,-1.0,-1,0,316.0,1896,316.0,1580,0.8328940432261466,0.015799868334430547
70000,2,2,2,26,1,1.3333333333333333,2,4,44513.0,265475,1913.5,11010,0.041472675496090045,3.79244582220254
450000,2,1,1,40,1,-2.0,-2,0,1016.5,26965,844.0,22589,0.8376844915819921,0.05992208906202431
90000,1,1,2,23,0,-0.16666666666666666,0,0,5879.0,31864,2022.5,16400,0.5146712694178566,0.3540405106609927
50000,1,3,2,23,0,0.0,0,0,33034.5,214295,1244.0,7891,0.036822899167506626,4.285814283714326
60000,1,1,2,27,1,-0.8333333333333334,1,1,-83.0,-394,250.0,2500,-6.361323155216285,-0.006566557224046266
50000,2,3,2,30,0,0.0,0,0,18404.5,112268,1156.0,7112,0.06334785203395417,2.245315093698126
